YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
569.9063,1047.1317,27.266085,55.385826
711.43384,995.1837,24.695173,68.42997
777.07007,828.4544,29.78249,45.185993
761.4782,854.96375,25.106035,63.671986
736.3205,1002.2837,26.17876,39.773415
583.8994,1011.8878,26.539675,60.250443
663.9748,847.9812,37.059612,54.80904
728.4149,859.8517,31.326937,63.96331
717.68854,1020.38104,25.090961,67.01851
706.85333,786.80286,31.463837,66.07803
711.44684,986.83167,23.72469,69.02302
776.82294,1052.4257,22.973303,46.21257
633.5599,866.37,32.26674,63.086163
746.5534,823.50714,30.153605,66.24049
732.6621,737.3085,33.634163,67.64175
677.2861,1082.239,24.675055,59.887924
707.53015,1001.1171,19.824368,69.29036
660.92267,1080.3263,27.15927,43.289814
719.9892,861.7473,31.606028,61.3575
634.1737,1054.1786,26.81373,44.616066
780.04987,904.131,23.70095,45.185993
675.0713,1077.9509,26.938402,40.377872
777.2156,1064.2985,23.866493,45.57232
747.0851,760.7328,34.85537,61.768353
736.96783,988.1494,20.086802,68.26345
715.6299,999.56177,25.780457,61.27032
779.26337,997.26984,24.326916,39.110493
734.22797,1059.2927,20.705515,64.11371
684.15045,1056.6316,26.93707,36.60338
772.1847,833.96265,30.923578,52.124317
649.42316,1002.8787,24.843557,68.79268
658.5483,1025.8079,27.44395,26.29716
735.84894,1002.2705,23.733446,67.63369
778.5485,1054.796,24.041485,44.612965
763.19275,887.08905,25.72828,62.53458
640.23364,860.0752,33.006744,52.071228
705.64343,769.48846,34.658005,65.463776
739.4931,739.2672,28.186409,67.57293
651.0142,762.3626,34.36715,67.77631
778.28937,1040.5491,24.38903,46.31244
678.84766,1076.3574,26.451105,44.899147
758.1995,764.12146,32.51953,63.330307
672.6103,834.0584,34.738953,52.19069
729.555,883.321,29.977749,64.18706
777.2156,1064.2985,23.866493,45.57232
758.5386,825.8054,33.969566,49.55618
617.88983,1066.7484,27.72963,33.387733
696.2411,1085.4507,24.72416,53.299984
722.4959,877.2837,30.027613,63.774498
708.5465,768.5759,34.356937,65.89988
707.2679,990.6202,20.36281,69.05973
758.5056,911.65576,24.679115,57.337208
759.0936,1015.86334,24.502968,56.61459
681.29016,1081.1501,26.675165,42.990173
697.68787,1040.0989,24.095026,65.764175
732.34143,1054.0629,20.765194,63.615685
766.2974,867.71533,30.2969,54.258606
667.7723,1078.4961,26.459837,46.07839
570.04175,1019.0003,27.24574,55.385826
797.708,808.50507,33.29909,61.56714
743.96655,1064.8059,26.244398,32.535263
664.1136,1045.8517,25.9295,57.943054
604.36444,883.33496,32.71951,57.435303
712.72205,995.75134,24.58495,68.42997
777.28015,892.9652,24.871454,45.134785
637.19525,914.39056,33.029842,56.687115
752.0188,838.00806,29.905844,66.06485
720.77466,1071.9454,24.941294,54.011646
763.2385,1024.4877,22.698841,64.012474
750.04333,910.3228,30.975935,44.99334
776.49677,1063.9484,24.334476,46.715836
773.46967,876.3904,25.126385,52.45133
689.4041,862.30896,29.96469,65.562256
698.414,1034.9832,23.64617,66.61669
735.486,1045.9221,24.363016,63.383694
721.7384,693.4137,36.552113,43.006397
